"game_title","game_platform","publisher_title"
"Abunai: Koi no Sousa Shitsu","PSV","Asgard"
"AC/DC LIVE: Rock Band Track Pack","PS2","MTV Games"
"AC/DC LIVE: Rock Band Track Pack","PS3","MTV Games"
"AC/DC LIVE: Rock Band Track Pack","Wii","MTV Games"
"AC/DC LIVE: Rock Band Track Pack","X360","MTV Games"
"Academy of Champions: Soccer","Wii","Ubisoft"
"Accel World: Ginyoku no Kakusei","PS3","Namco Bandai Games"
"Accel World: Ginyoku no Kakusei","PSP","Namco Bandai Games"
"Accel World: Kasoku no Chouten","PS3","Namco Bandai Games"
"Accel World: Kasoku no Chouten","PSP","Namco Bandai Games"
"Ace Attorney 6","3DS","Capcom"
"Ace Attorney Investigations 2","DS","Capcom"
"Ace Attorney Investigations: Miles Edgeworth","DS","Capcom"
"Ace Combat 04: Shattered Skies","PS2","Sony Computer Entertainment Europe"
"Ace Combat 2","PS","Sony Computer Entertainment"
"Ace Combat 3: Electrosphere","PS","Sony Computer Entertainment"
"Ace Combat 5: The Unsung War","PS2","Sony Computer Entertainment Europe"
"Ace Combat 6: Fires of Liberation","X360","Atari"
"Ace Combat X: Skies of Deception","PSP","Namco Bandai Games"
"Ace Combat Zero: The Belkan War","PS2","Namco Bandai Games"
"Ace Combat: Assault Horizon","PS3","Namco Bandai Games"
"Ace Combat: Assault Horizon","X360","Namco Bandai Games"
"Ace Combat: Assault Horizon Legacy","3DS","Namco Bandai Games"
"Ace Combat: Joint Assault","PSP","Namco Bandai Games"
"Achtung Panzer: Kharkov 1943","PC","Mamba Games"
"Act of Aggression","PC","Focus Home Interactive"
"Action Bass","PS","Take-Two Interactive"
"Action Force","2600","CPG Products"
"Action Man-Operation Extreme","PS","N/A"
"Active Health with Carol Vorderman","DS","Nintendo"
"Active Life Explorer","Wii","Namco Bandai Games"
"Active Life: Extreme Challenge","Wii","Namco Bandai Games"
"Active Life: Magical Carnival","Wii","Namco Bandai Games"
"Active Life: Outdoor Challenge","Wii","Atari"
"Activision Anthology","GBA","Activision"
"Activision Anthology","PS2","Activision"
"Activision Hits: Remixed","PSP","Activision"
"Actua Tennis","PS","Gremlin Interactive Ltd"
"Adidas Power Soccer","PS","Psygnosis"
"Adidas Power Soccer 98","PS","Psygnosis"
"Adrenalin Misfits","X360","Konami Digital Entertainment"
"Advance Guardian Heroes","GBA","Ubisoft"
"Advance Wars","GBA","Nintendo"
"Advance Wars 2: Black Hole Rising","GBA","Nintendo"
"Advance Wars: Days of Ruin","DS","Nintendo"
"Advance Wars: Dual Strike","DS","Nintendo"
"Advent Rising","XB","THQ"
"Adventure","2600","Atari"
"Adventure Island","NES","Hudson Soft"
"Adventure Time: Explore the Dungeon Because I Don't Know!","3DS","D3Publisher"
"Adventure Time: Explore the Dungeon Because I Don't Know!","PS3","D3Publisher"
"Adventure Time: Explore the Dungeon Because I Don't Know!","WiiU","D3Publisher"
"Adventure Time: Explore the Dungeon Because I Don't Know!","X360","D3Publisher"
"Adventure Time: Finn & Jake Investigations","3DS","Little Orbit"
"Adventure Time: Finn & Jake Investigations","PS3","Little Orbit"
"Adventure Time: Finn & Jake Investigations","PS4","Little Orbit"
"Adventure Time: Finn & Jake Investigations","WiiU","Little Orbit"
"Adventure Time: Finn & Jake Investigations","X360","Little Orbit"
"Adventure Time: Finn & Jake Investigations","XOne","Little Orbit"
"Adventure Time: The Secret of the Nameless ","3DS","Little Orbit"
"Adventure Time: The Secret of the Nameless ","X360","Little Orbit"
"Adventure Time: The Secret of the Nameless Kingdom","3DS","Little Orbit"
"Adventure Time: The Secret of the Nameless Kingdom","X360","Little Orbit"
"Adventures of Lolo","NES","HAL Laboratory"
"Adventures of Tron","2600","Mattel Interactive"
"Adventures to Go!","PSP","Zushi Games"
"Aedis Eclipse: Generation of Chaos","PSP","Idea Factory"
"Aegis of Earth: Protonovus Assault","PS3","PQube"
"Aegis of Earth: Protonovus Assault","PS4","PQube"
"Aegis of Earth: Protonovus Assault","PSV","PQube"
"Aeon Flux","PS2","THQ"
"Aeon Flux","XB","THQ"
"Aero Elite: Combat Academy","PS2","Sega"
"Aero Gauge","N64","ASCII Entertainment"
"AeroFighters Assault","N64","Video System"
"Afrika","PS3","Unknown"
"Afro Samurai","PS3","Atari"
"Afro Samurai","X360","Atari"
"After Hours Athletes","PS3","Sony Computer Entertainment"
"Again","DS","Ackkstudios"
"Agarest Senki: Re-appearance","PS3","Idea Factory"
"Agassi Tennis Generation","PS2","DreamCatcher Interactive"
"Agatha Christie's The ABC Murders","PS4","Microids"
"Agatha Christie's The ABC Murders","XOne","Microids"
"Agatha Christie: And Then There Were None","Wii","The Adventure Company"
"Agatha Christie: Death on the Nile","PC","Big Fish Games"
"Agatha Christie: Evil Under the Sun","Wii","The Adventure Company"
"Agatha Christie: Peril at End House","PC","JoWood Productions"
"Agatha Christie: The ABC Murders","DS","JoWood Productions"
"Agatha Christie: The ABC Murders","PC","Microids"
"Age of Conan: Rise of the Godslayer","PC","Funcom"
"Age of Empires II: The Age of Kings","PC","Microsoft Game Studios"
"Age of Empires III","PC","Microsoft Game Studios"
"Age of Empires III: Complete Collection","PC","Microsoft Game Studios"
"Age of Empires III: Gold Edition","PC","Microsoft Game Studios"
"Age of Empires III: The Asian Dynasties","PC","Microsoft Game Studios"
"Age of Empires Online","PC","Microsoft Game Studios"
"Age of Empires: Collector's Edition","PC","Ubisoft"
"Age of Empires: Mythologies","DS","THQ"
"Age of Empires: The Age of Kings","DS","THQ"
"Age of Mythology","PC","Microsoft Game Studios"
"Age of Mythology: The Titans","PC","Microsoft Game Studios"
"Aggressive Inline","GC","Acclaim Entertainment"
"Aggressive Inline","PS2","Acclaim Entertainment"
"Aggressive Inline","XB","Acclaim Entertainment"
"Agile Warrior F-111X","PS","Virgin Interactive"
"Aibou DS","DS","Tecmo Koei"
"Aidyn Chronicles: The First Mage","N64","THQ"
"Aikatsu Stars! My Special Appeal","3DS","Namco Bandai Games"
"Aikatsu! 2-nin no My Princess","3DS","Namco Bandai Games"
"Aikatsu! 365 Idol Days","3DS","Namco Bandai Games"
"Aikatsu! Cinderella Lesson","3DS","Namco Bandai Games"
"Aikatsu! My No.1 Stage!","3DS","Namco Bandai Games"
"Ailu de Puzzle","PSP","Capcom"
"AIR","PSP","Prototype"
"Air-Sea Battle","2600","Atari"
"Air Combat","PS","Sony Computer Entertainment"
"Air Conflicts: Aces of World War II","PSP","Graffiti"
"Air Conflicts: Secret Wars","PC","bitComposer Games"
"Air Conflicts: Secret Wars","PS3","bitComposer Games"
"Air Conflicts: Secret Wars","X360","bitComposer Games"
"Air Raid","2600","Men-A-Vision"
"Air Traffic Chaos","DS","Ertain"
"Airblade","PS2","Sony Computer Entertainment"
"Airborne Troops: Countdown to D-Day","PS2","Playlogic Game Factory"
"AirForce Delta Storm","GBA","Konami Digital Entertainment"
"AirForce Delta Storm","XB","Konami Digital Entertainment"
"AirForce Delta Strike","PS2","Konami Digital Entertainment"
"Airline Tycoon","PC","Interplay"
"Airline Tycoon 2","PC","Kalypso Media"
"Airlock","2600","Data Age"
"Airport Simulator","PC","Unknown"
"Airship Q","PSV","Cygames"
"Aiyoku no Eustia","PSV","dramatic create"
"Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin","DS","Marvelous Interactive"
"Akai Ito DS","DS","Alchemist"
"Akai Katana Shin","X360","Cave"
"Akane Iro ni Somaru Saka Parallel","PS2","GN Software"
"Akatsuki no Amaneka to Aoi Kyojin","PSP","CyberFront"
"Akatsuki no Goei Trinity","PS3","5pb"
"Akatsuki no Goei Trinity","PSP","5pb"
"AKB1/149: Love Election","PS3","Namco Bandai Games"
"AKB1/149: Love Election","PSP","Namco Bandai Games"
"AKB1/149: Love Election","PSV","Namco Bandai Games"
"AKB1/48: Idol to Guam de Koishitara...","PSP","Namco Bandai Games"
"AKB1/48: Idol to Guam de Koishitara...","X360","N/A"
"AKB1/48: Idol to Koishitara...","PSP","Namco Bandai Games"
"AKB48+Me","3DS","Unknown"
"Akiba's Trip","PSP","Acquire"
"Akiba's Trip Plus","PSP","Acquire"
"Akiba's Trip: Undead & Undressed","PS3","Nippon Ichi Software"
"Akiba's Trip: Undead & Undressed","PS4","Acquire"
"Akiba's Trip: Undead & Undressed","PSV","Nippon Ichi Software"
"Akko ni Omakase! Brain Shock","DS","Taito"
"Akuji the Heartless","PS","Eidos Interactive"
"Aladdin Magic Racer","Wii","Big Ben Interactive"
"Alan Wake","PC","Nordic Games"
"Alan Wake","X360","Microsoft Game Studios"
"Alex Rider: Stormbreaker","DS","THQ"
"Alexi Lalas International Soccer","PS","Take-Two Interactive"
"Alfa Romeo Racing Italiano","PS2","Black Bean Games"
"Alia's Carnival! Sacrament","PSV","dramatic create"
"Alias","PS2","Acclaim Entertainment"
"Alias","XB","Acclaim Entertainment"
"Alice in Wonderland","DS","Disney Interactive Studios"
"Alice in Wonderland","Wii","Disney Interactive Studios"
"Alice: Madness Returns","PC","Electronic Arts"
"Alice: Madness Returns","PS3","Electronic Arts"
"Alice: Madness Returns","X360","Electronic Arts"
"Alien","2600","20th Century Fox Video Games"
"Alien's Return","2600","ITT Family Games"
"Alien Breed Trilogy","X360","Mastertronic"
"Alien Hominid","GC","O3 Entertainment"
"Alien Hominid","PS2","Zoo Digital Publishing"
"Alien Monster Bowling League","Wii","Destineer"
"Alien Resurrection","PS","Fox Interactive"
"Alien Syndrome","PSP","Sega"
"Alien Syndrome","Wii","Sega"
"Alien Trilogy","PS","Acclaim Entertainment"
"Alien: Isolation","PC","Sega"
"Alien: Isolation","PS3","Sega"
"Alien: Isolation","PS4","Sega"
"Alien: Isolation","X360","Sega"
"Alien: Isolation","XOne","Sega"
"Alienators: Evolution Continues","GBA","Activision"
"Aliens in the Attic","DS","Playlogic Game Factory"
"Aliens in the Attic","Wii","Playlogic Game Factory"
"Aliens versus Predator: Extinction","PS2","Electronic Arts"
"Aliens versus Predator: Extinction","XB","Electronic Arts"
"Aliens vs Predator","PC","Sega"
"Aliens vs Predator","PS3","Sega"
"Aliens vs Predator","X360","Sega"
"Aliens vs Predator: Requiem","PSP","Vivendi Games"
"Aliens: Colonial Marines","PC","Sega"
"Aliens: Colonial Marines","PS3","Sega"
"Aliens: Colonial Marines","X360","Sega"
"Aliens: Infestation","DS","Sega"
"All-Pro Football 2K8","PS3","Take-Two Interactive"
"All-Pro Football 2K8","X360","Take-Two Interactive"
"All-Star Baseball 2000","N64","Acclaim Entertainment"
"All-Star Baseball 2001","N64","Acclaim Entertainment"
"All-Star Baseball 2002","GC","Acclaim Entertainment"
"All-Star Baseball 2002","PS2","Acclaim Entertainment"
"All-Star Baseball 2003","GBA","Acclaim Entertainment"
"All-Star Baseball 2003","GC","Acclaim Entertainment"
"All-Star Baseball 2003","PS2","Acclaim Entertainment"
"All-Star Baseball 2003","XB","Acclaim Entertainment"
"All-Star Baseball 2004","GBA","Acclaim Entertainment"
"All-Star Baseball 2004","GC","Acclaim Entertainment"
"All-Star Baseball 2004","PS2","Acclaim Entertainment"
"All-Star Baseball 2004","XB","Acclaim Entertainment"
"All-Star Baseball 2005","PS2","Unknown"
"All-Star Baseball 2005","XB","Unknown"
"All-Star Baseball 99","N64","Acclaim Entertainment"
"All Grown Up! Express Yourself","GBA","THQ"
"All Grown Up!: Game Boy Advance Video Volume 1","GBA","N/A"
"All Japan Pro Wrestling featuring Virtua","SAT","Sega"
"All Kamen Rider: Rider Generation","DS","Namco Bandai Games"
"All Kamen Rider: Rider Generation 2","DS","Namco Bandai Games"
"All Kamen Rider: Rider Generation 2","PSP","Namco Bandai Games"
"All Points Bulletin","PC","Electronic Arts"
"All Star Cheer Squad","DS","THQ"
"All Star Cheer Squad","Wii","THQ"
"All Star Cheer Squad 2","Wii","THQ"
"All Star Karate","Wii","THQ"
"All Star Pro-Wrestling","PS2","SquareSoft"
"All Star Tennis 99","N64","Ubisoft"
"Alleyway","GB","Nintendo"
"Allied General","PS","SSI"
"Alone in the Dark","PC","Atari"
"Alone in the Dark","PS2","Atari"
"Alone in the Dark","Wii","Atari"
"Alone in the Dark","X360","Atari"
"Alone in the Dark: Inferno","PS3","Atari"
"Alone in the Dark: One-Eyed Jack's Revenge","PS","Infogrames"
"Alone in the Dark: The New Nightmare","PS","Infogrames"
"Alpha and Omega","DS","Unknown"
"Alpha Protocol","PC","Sega"
"Alpha Protocol","PS3","Sega"
"Alpha Protocol","X360","Sega"
"Alter Echo","PS2","THQ"
"Alter Echo","XB","THQ"
"Alter Ego","PC","Activision"
"Altered Beast: Guardian of the Realms","GBA","THQ"
"Alundra","PS","Psygnosis"
"Alundra 2: A New Legend Begins","PS","Activision"
"Alvin and the Chipmunks","DS","Brash Entertainment"
"Alvin and the Chipmunks","PS2","Brash Entertainment"
"Alvin and the Chipmunks","Wii","Eidos Interactive"
"Alvin and the Chipmunks: Chipwrecked","DS","505 Games"
"Alvin and the Chipmunks: Chipwrecked","Wii","505 Games"
