"title"
"""Destination Software, Inc"""
"""Interworks Unlimited, Inc."""
"""mixi, Inc"""
"10TACLE Studios"
"1C Company"
"20th Century Fox Video Games"
"2D Boy"
"3DO"
"49Games"
"505 Games"
"5pb"
"7G//AMES"
"989 Sports"
"989 Studios"
"Abylight"
"Acclaim Entertainment"
"Accolade"
"Ackkstudios"
"Acquire"
"Activision"
"Activision Blizzard"
"Activision Value"
"Adeline Software"
"Aerosoft"
"Agatsuma Entertainment"
"Agetec"
"Aksys Games"
"Alawar Entertainment"
"Alchemist"
"Alternative Software"
"Altron"
"Alvion"
"American Softworks"
"Angel Studios"
"Answer Software"
"AQ Interactive"
"Aqua Plus"
"Aques"
"Arc System Works"
"Arena Entertainment"
"Aria"
"Arika"
"ArtDink"
"Aruze Corp"
"ASC Games"
"Ascaron Entertainment"
"Ascaron Entertainment GmbH"
"ASCII Entertainment"
"ASCII Media Works"
"Asgard"
"ASK"
"Asmik Ace Entertainment"
"Asmik Corp"
"Aspyr"
"Astragon"
"Asylum Entertainment"
"Atari"
"Athena"
"Atlus"
"Avalon Interactive"
"Avanquest"
"Avanquest Software"
"Axela"
"BAM! Entertainment"
"Banpresto"
"Benesse"
"Berkeley"
"Bethesda Softworks"
"Big Ben Interactive"
"Big Fish Games"
"Bigben Interactive"
"bitComposer Games"
"Black Bean Games"
"Black Label Games"
"Blast! Entertainment Ltd"
"Blue Byte"
"BMG Interactive Entertainment"
"Bohemia Interactive"
"Bomb"
"Boost On"
"BPS"
"Brash Entertainment"
"Broccoli"
"BushiRoad"
"Capcom"
"Cave"
"CBS Electronics"
"CCP"
"CDV Software Entertainment"
"ChunSoft"
"City Interactive"
"Cloud Imperium Games Corporation"
"Coconuts Japan"
"Codemasters"
"Codemasters Online"
"CokeM Interactive"
"Coleco"
"Comfort"
"Commseed"
"Compile"
"Compile Heart"
"Conspiracy Entertainment"
"Core Design Ltd."
"CPG Products"
"Crave Entertainment"
"Creative Core"
"Crimson Cow"
"Crystal Dynamics"
"Crytek"
"CTO SpA"
"Culture Brain"
"Culture Publishers"
"CyberFront"
"Cygames"
"D3Publisher"
"Daedalic"
"Daedalic Entertainment"
"Daito"
"Data Age"
"Data Design Interactive"
"Data East"
"Datam Polystar"
"Deep Silver"
"Destineer"
"Detn8 Games"
"Devolver Digital"
"DHM Interactive"
"DigiCube"
"Disney Interactive Studios"
"Dorart"
"dramatic create"
"DreamCatcher Interactive"
"DreamWorks Interactive"
"DSI Games"
