"critic_score","user_score","critic_count","user_count","score_id"
80,7.5,32,22,276
80,7.1,67,120,277
80,7.2,77,564,278
0,0,0,0,279
0,0,0,0,280
94,7.3,61,330,281
0,0,0,0,282
0,0,0,0,283
95,7.7,25,65,284
96,9.1,24,3161,285
0,0,0,0,286
0,0,0,0,287
0,0,0,0,288
91,7.9,46,785,289
88,8.4,31,809,290
93,8.9,70,709,291
0,8.2,0,23,292
84,8.1,81,769,293
90,8.3,66,381,294
56,6,27,44,295
80,6.3,80,2996,296
0,0,0,0,297
85,8.5,25,117,298
85,7.7,83,1653,299
0,0,0,0,300
0,0,0,0,301
61,0,21,0,302
89,8.6,76,681,303
92,9.2,79,10179,304
70,4.9,40,2050,305
87,7.6,89,2679,306
93,8,81,1958,307
90,8,57,910,308
84,8.8,65,72,309
0,0,0,0,310
81,8.7,27,39,311
90,8.7,38,121,312
86,8.7,80,348,313
94,8.1,32,9073,314
87,6.7,51,364,315
88,8.6,62,229,316
0,0,0,0,317
84,7.4,9,220,318
0,0,0,0,319
91,9.1,26,38,320
76,7.9,64,104,321
0,0,0,0,322
0,0,0,0,323
78,3.7,49,1564,324
59,4,22,4,325
80,7,64,2219,326
68,6.9,33,39,327
0,0,0,0,328
0,0,0,0,329
77,7.5,60,66,330
79,8,21,29,331
0,0,0,0,332
64,7.5,11,41,333
0,0,0,0,334
0,0,0,0,335
85,7.9,56,417,336
91,8.8,15,207,337
88,8.1,36,840,338
81,7.6,27,56,339
0,0,0,0,340
0,0,0,0,341
94,8.5,27,128,342
0,0,0,0,343
67,7.3,15,13,344
74,8.4,34,31,345
0,0,0,0,346
82,7.9,42,82,347
90,8.7,35,312,348
0,0,0,0,349
82,7.9,10,38,350
96,8.9,38,1013,351
86,7.6,18,71,352
91,7.6,56,203,353
82,8.7,36,142,354
0,0,0,0,355
64,7.7,23,32,356
78,8.5,34,161,357
85,6.9,18,1580,358
84,9,30,268,359
0,6.2,0,10,360
70,8,39,9,361
0,0,0,0,362
0,0,0,0,363
78,7.8,49,112,364
72,6.8,49,88,365
0,0,0,0,366
72,7.9,27,48,367
0,0,0,0,368
0,0,0,0,369
88,7.5,66,155,370
0,0,0,0,371
89,7.9,67,1309,372
0,0,0,0,373
72,4.1,59,1005,374
0,0,0,0,375
83,7.5,91,523,376
89,8.3,81,693,377
84,6.4,20,76,378
80,5.8,14,579,379
92,8.7,78,1080,380
79,5.6,21,542,381
88,8.6,75,869,382
0,0,0,0,383
71,8.8,70,29,384
83,8.4,30,28,385
0,0,0,0,386
84,8.2,83,715,387
79,8.3,23,126,388
0,0,0,0,389
70,8,15,67,390
93,8.2,86,3943,391
80,8.9,50,106,392
0,0,0,0,393
88,6.7,15,35,394
91,8.4,86,657,395
68,8.2,12,99,396
76,6.8,86,1319,397
76,7.9,49,75,398
75,5.5,11,1735,399
0,0,0,0,400
0,0,0,0,401
90,8.5,32,1041,402
0,0,0,0,403
0,0,0,0,404
77,8.5,20,66,405
0,0,0,0,406
0,0,0,0,407
60,7.2,34,82,408
87,7.8,75,228,409
80,8.5,21,86,410
86,7.9,35,701,411
85,8.7,31,105,412
0,0,0,0,413
82,7.5,74,563,414
77,8,39,94,415
86,9.2,62,111,416
0,0,0,0,417
84,4.4,45,459,418
63,4.6,43,116,419
0,0,0,0,420
83,5.9,37,180,421
81,7.7,81,758,422
85,7.2,69,1267,423
0,0,0,0,424
88,8.7,85,691,425
0,0,0,0,426
0,0,0,0,427
0,0,0,0,428
0,0,0,0,429
91,8.6,79,565,430
62,8.1,30,137,431
83,8,67,463,432
82,7.6,63,85,433
89,7.7,78,1010,434
89,9.1,22,95,435
87,8.9,42,137,436
83,6.5,12,36,437
0,8,0,37,438
87,9,19,107,439
73,6.8,45,155,440
88,0,13,0,441
0,0,0,0,442
82,8.5,43,101,443
0,0,0,0,444
83,9,48,63,445
82,7.8,57,492,446
81,7.8,12,10,447
93,8,45,604,448
91,8.9,81,1057,449
74,5.4,34,1304,450
96,8.9,98,3143,451
67,7.9,28,71,452
94,7.9,23,46,453
0,0,0,0,454
0,0,0,0,455
75,7.8,18,22,456
74,7.9,17,22,457
66,6.9,60,106,458
70,3.9,74,2057,459
89,8.2,59,892,460
72,8,16,16,461
75,7.4,42,32,462
93,5.8,74,3725,463
87,7.7,107,2759,464
0,0,0,0,465
81,8.1,75,307,466
93,8.5,46,121,467
0,0,0,0,468
0,0,0,0,469
87,6.3,26,616,470
91,8.1,94,1505,471
91,8.6,39,1247,472
73,7,78,131,473
88,7.2,41,131,474
73,9.2,24,173,475
0,0,0,0,476
0,0,0,0,477
82,6.6,23,20,478
93,9.1,24,65,479
94,8.5,37,466,480
85,5.9,73,2748,481
84,8.1,85,1886,482
64,7.8,29,94,483
