"game_title","game_platform","score_id"
"7th Dragon III Code: VFD","3DS",8455
"99 no Namida","DS",13866
"999: Nine Hours Nine Persons Nine Doors","DS",5173
"A-Train","PS",11551
"A-Train 6","PS2",12804
"A-Train: City Simulator","3DS",12447
"A Boy and His Blob","Wii",7419
"A Bug's Life","N64",3191
"A Bug's Life","PS",528
"A Collection of Activision Classic Games for the Atari 2600","PS",1411
"A Collection of Classic Games from the Intellivision","PS",5810
"A Game of Thrones: Genesis","PC",14183
"A Good Librarian Like a Good Shepherd: Library Party","PSV",14390
"A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES",12425
"A New Beginning","PC",12581
"A Ressha de Gyoukou 2001","PS2",14948
"A Ressha de Ikou DS","DS",13925
"A Vampyre Story","PC",15981
"A Witch's Tale","DS",10029
"A. IV Evolution: A Ressha de Ikou 4","PS",6619
"A.C.E.: Another Century's Episode","PS2",6530
"A.C.E.: Another Century's Episode 2","PS2",8099
"A.C.E.: Another Century's Episode 3: The Final","PS2",6563
"A.C.E.: Another Century's Episode Portable","PSP",9902
"A.C.E.: Another Century's Episode R","PS3",6430
"Â¡Shin Chan Flipa en colores!","DS",9136
"Aa Megami-samaa","PS2",16313
"ABBA: You Can Dance","Wii",2653
"Abunai: Koi no Sousa Shitsu","PSP",16144
"Abunai: Koi no Sousa Shitsu","PSV",15797
"AC/DC LIVE: Rock Band Track Pack","PS2",8690
"AC/DC LIVE: Rock Band Track Pack","PS3",6836
"AC/DC LIVE: Rock Band Track Pack","Wii",6404
"AC/DC LIVE: Rock Band Track Pack","X360",7101
"Academy of Champions: Soccer","Wii",9864
"Accel World: Ginyoku no Kakusei","PS3",14354
"Accel World: Ginyoku no Kakusei","PSP",14397
"Accel World: Kasoku no Chouten","PS3",16050
"Accel World: Kasoku no Chouten","PSP",16251
"Ace Attorney 6","3DS",6248
"Ace Attorney Investigations 2","DS",6480
"Ace Attorney Investigations: Miles Edgeworth","DS",2906
"Ace Combat 04: Shattered Skies","PS2",435
"Ace Combat 2","PS",2337
"Ace Combat 3: Electrosphere","PS",2478
"Ace Combat 5: The Unsung War","PS2",1045
"Ace Combat 6: Fires of Liberation","X360",2045
"Ace Combat X: Skies of Deception","PSP",2091
"Ace Combat Zero: The Belkan War","PS2",3915
"Ace Combat: Assault Horizon","PS3",2771
"Ace Combat: Assault Horizon","X360",4036
"Ace Combat: Assault Horizon Legacy","3DS",6798
"Ace Combat: Joint Assault","PSP",6031
"Achtung Panzer: Kharkov 1943","PC",15985
"Act of Aggression","PC",16458
"Action Bass","PS",1779
"Action Force","2600",3706
"Action Man-Operation Extreme","PS",11094
"Active Health with Carol Vorderman","DS",8005
"Active Life Explorer","Wii",9118
"Active Life: Extreme Challenge","Wii",4191
"Active Life: Magical Carnival","Wii",13509
"Active Life: Outdoor Challenge","Wii",1215
"Activision Anthology","GBA",13475
"Activision Anthology","PS2",3960
"Activision Hits: Remixed","PSP",12930
"Actua Tennis","PS",9647
"Adidas Power Soccer","PS",13964
"Adidas Power Soccer 98","PS",15558
"Adrenalin Misfits","X360",9028
"Advance Guardian Heroes","GBA",13597
"Advance Wars","GBA",2920
"Advance Wars 2: Black Hole Rising","GBA",3106
